id,reputation,post_count,age
64569,109,1,2
64571,111,1,2
64574,21,1,2
64580,51,1,2
64588,121,1,2
64593,119,1,2
64599,11,1,2
64603,123,1,2
64604,111,1,2
64609,111,1,2
64611,1,1,2
64619,1,1,2
64625,121,1,2
64626,21,1,2
64628,131,1,2
64631,21,1,2
64636,1,1,2
64639,13,1,2
64643,9,1,2
64645,11,1,2
64646,113,1,2
64652,31,1,2
64655,21,1,2
64669,11,1,2
64689,111,1,2
64711,21,1,2
64715,21,1,2
64720,11,1,2
64730,101,1,2
64733,113,1,2
64744,11,1,2
64755,23,1,2
64772,101,1,2
64781,13,1,2
64788,1,1,2
64793,111,1,2
64805,11,1,2
64834,11,1,2
64838,1,1,2
64854,131,1,2
64865,46,1,2
64867,11,1,2
64892,1,1,2
64895,119,1,2
64904,1,1,2
64908,11,1,2
64910,41,1,2
64913,131,1,2
64923,11,1,2
64935,83,1,2
64937,111,1,2
64940,121,1,2
64961,1,1,2
64962,31,1,2
64963,113,1,2
64964,131,1,2
64966,111,1,2
64969,11,1,2
64983,13,1,2
64994,71,1,2
64998,13,1,2
64999,16,1,2
65004,123,1,2
65009,141,1,2
65022,41,1,2
65027,543,1,2
65032,3,1,2
65038,121,1,2
65039,11,1,2
65044,121,1,2
65051,101,1,2
65052,121,1,2
65060,13,1,2
65076,7,1,2
65081,3,1,2
65088,101,1,2
65090,121,1,2
65120,103,1,2
65135,133,1,2
65136,3,1,2
65139,101,1,2
65140,131,1,2
65144,11,1,2
65157,131,1,2
65158,1,1,2
65162,121,1,2
65166,33,1,2
65172,111,1,2
65173,111,1,2
65180,111,1,2
65203,101,1,2
65206,101,1,2
65217,11,1,2
65231,111,1,2
65244,71,1,2
65260,121,1,2
65266,11,1,2
65267,101,1,2
65268,11,1,2
65269,101,1,2
65273,3,1,2
65290,1,1,2
65294,3,1,2
65295,111,1,2
65300,31,1,2
65326,21,1,2
65330,1,1,2
65340,11,1,2
65349,101,1,2
65351,1,1,2
65359,101,1,2
65369,121,1,2
65372,31,1,2
65374,121,1,2
65381,133,1,2
65391,111,1,2
65392,3,1,2
65408,13,1,2
65410,21,1,2
65414,9,1,2
65417,13,1,2
65421,21,1,2
65424,111,1,2
65451,11,1,2
65453,11,1,2
65454,11,1,2
65455,111,1,2
65458,103,1,2
65469,11,1,2
65473,11,1,2
65475,101,1,2
65486,21,1,2
65493,11,1,2
65501,101,1,2
65506,21,1,2
65507,101,1,2
65514,111,1,2
65516,21,1,2
65521,11,1,2
65529,11,1,2
65533,11,1,2
65534,31,1,2
65538,103,1,2
65547,11,1,2
65555,103,1,2
65561,31,1,2
65566,9,1,2
65584,11,1,2
65588,103,1,2
65592,111,1,2
65593,111,1,2
65603,11,1,2
65614,11,1,2
65615,23,1,2
65640,11,1,2
65654,21,1,2
65663,1,1,2
65668,11,1,2
65672,133,1,2
65676,13,1,2
65689,111,1,2
65695,21,1,2
65697,1,1,2
65716,11,1,2
65719,13,1,2
65720,131,1,2
65721,133,1,2
65725,1,1,2
65730,1,1,2
65740,1,1,2
65756,116,1,2
65766,101,1,2
65774,11,1,2
65784,41,1,2
65786,19,1,2
65787,11,1,2
65790,11,1,2
65792,101,1,2
65793,131,1,2
65809,23,1,2
65817,101,1,2
65819,21,1,2
65842,113,1,2
65843,23,1,2
65844,13,1,2
65874,1,1,2
65879,131,1,2
65895,11,1,2
65907,11,1,2
65916,101,1,2
65919,41,1,2
65924,11,1,2
65937,21,1,2
65949,141,1,2
65954,21,1,2
65965,31,1,2
65970,11,1,2
65972,3,1,2
65975,31,1,2
65983,111,1,2
65987,3,1,2
65991,31,1,2
66003,41,1,2
66010,13,1,2
66031,111,1,2
66037,121,1,2
66039,133,1,2
66041,11,1,2
66042,101,1,2
66047,11,1,2
66048,13,1,2
66056,153,1,2
66059,111,1,2
66078,111,1,2
66084,101,1,2
66094,113,1,2
66103,101,1,2
66115,31,1,2
66120,101,1,2
66126,181,1,2
66127,1,1,2
66132,3,1,2
66149,11,1,2
66152,101,1,2
66172,1,1,2
66190,21,1,2
66210,111,1,2
66215,101,1,2
