id,reputation,comment_count,age
53425,11,1,2
53449,113,1,2
53452,146,1,2
87979,1,1,1
6554,201,1,6
53476,115,1,2
87963,73,1,1
87958,63,1,1
87954,21,1,1
53532,1,1,2
53550,1,1,2
53555,171,1,2
53560,123,1,2
53575,547,1,2
53576,109,1,2
87943,31,1,1
53619,101,1,2
53639,101,1,2
53640,1,1,2
87912,131,1,1
53653,29,1,2
53662,23,1,2
53675,43,1,2
53681,111,1,2
87903,51,1,1
53700,101,1,2
53715,131,1,2
6558,33,1,6
53724,1,1,2
109136,103,1,0
53730,101,1,2
53731,61,1,2
53735,11,1,2
112139,19,1,0
53753,101,1,2
53758,126,1,2
87876,231,1,1
53761,23,1,2
53776,101,1,2
53790,55,1,2
53804,103,1,2
87858,11,1,1
53816,1,1,2
53829,17,1,2
53890,103,1,2
53896,1,1,2
53900,21,1,2
53901,1,1,2
6622,103,1,6
87841,1,1,1
6625,101,1,6
87798,101,1,1
87791,11,1,1
109119,11,1,0
53976,31,1,2
87763,101,1,1
54017,141,1,2
54024,101,1,2
54030,11,1,2
87724,101,1,1
87723,121,1,1
87688,101,1,1
54055,207,1,2
54064,11,1,2
109113,11,1,0
54105,1,1,2
87683,11,1,1
87669,101,1,1
54120,31,1,2
54128,133,1,2
6656,113,1,6
54151,3,1,2
6660,21,1,6
54180,1,1,2
87668,1,1,1
87660,21,1,1
87659,101,1,1
54209,31,1,2
54221,133,1,2
54224,11,1,2
87657,153,1,1
54234,103,1,2
87646,146,1,1
87618,86,1,1
54262,1,1,2
54265,93,1,2
87576,11,1,1
6672,121,1,6
109107,17,1,0
87517,101,1,1
54304,11,1,2
54310,31,1,2
54330,1,1,2
54342,111,1,2
54353,53,1,2
54361,33,1,2
54387,101,1,2
54390,133,1,2
87435,1,1,1
54414,1,1,2
54416,101,1,2
54419,11,1,2
54420,133,1,2
54439,66,1,2
87433,13,1,1
54443,11,1,2
54448,1,1,2
54468,125,1,2
54492,21,1,2
54502,1,1,2
54503,41,1,2
54505,1,1,2
87430,1,1,1
87418,31,1,1
54554,111,1,2
54571,51,1,2
54579,131,1,2
54580,257,1,2
87415,21,1,1
87395,93,1,1
54597,101,1,2
54600,11,1,2
54617,1,1,2
87369,1,1,1
54627,121,1,2
54658,1,1,2
54660,1,1,2
87368,85,1,1
54669,1,1,2
54670,161,1,2
54671,41,1,2
54696,101,1,2
54712,1,1,2
54715,193,1,2
87353,11,1,1
54722,111,1,2
87347,21,1,1
54757,13,1,2
54777,125,1,2
87325,11,1,1
54796,63,1,2
54801,153,1,2
54819,121,1,2
54828,111,1,2
54832,121,1,2
87323,1,1,1
54855,193,1,2
54859,41,1,2
54864,53,1,2
54868,11,1,2
54874,111,1,2
112501,13,1,0
54901,21,1,2
87314,13,1,1
54912,1,1,2
54914,11,1,2
70299,21,1,2
87297,73,1,1
54924,101,1,2
87284,201,1,1
87274,23,1,1
54955,123,1,2
54961,116,1,2
54985,123,1,2
7712,101,1,6
87259,101,1,1
55002,101,1,2
55007,101,1,2
55017,101,1,2
87247,1,1,1
87245,131,1,1
55074,136,1,2
55076,101,1,2
55088,3,1,2
55096,13,1,2
87221,1,1,1
87208,1,1,1
55130,111,1,2
55148,21,1,2
56157,11,1,2
56158,103,1,2
87202,123,1,1
